version=2007022703
BE19	BEECH AIRCRAFT COMPANY (USA)	19 Musketeer Sport, Sport	1	P	S	680	680	I
BE20	BEECH AIRCRAFT COMPANY (USA)	200, 1300 Super King Air, Commuter(C-12A to F, C-12LR, UC-12, RC-12,Tp101, Huron)	2	T	S+	2450	2500	III
BE23	BEECH AIRCRAFT COMPANY (USA)	23 Musketeer, Sundowner	1	P	S	740	800	I
BE24	BEECH AIRCRAFT COMPANY (USA)	24 Musketeer Super, Sierra	1	P	S	1000	1000	I
BE30	BEECH AIRCRAFT COMPANY (USA)	300 Super King Air 	2	T	S+	3000	3000	III
BE33	BEECH AIRCRAFT COMPANY (USA)	33 Debonair, Bonanza (E-24)	1	P	S	1000	1000	I
BE35	BEECH AIRCRAFT COMPANY (USA)	35 Bonanza	1	P	S	1200	1200	I
BE36	BEECH AIRCRAFT COMPANY (USA)	36 Bonanza (piston)	1	P	S	1100	1100	I
B36T	BEECH AIRCRAFT COMPANY (USA)	36 Bonanza (turbine)	1	T	S	0	0	I 
BE40	BEECH AIRCRAFT COMPANY (USA)	400 Beechjet, Hawker 400 (T-1Jayhawk, T-400)	2	J	S+	3300	2200	III
BE50	BEECH AIRCRAFT COMPANY (USA)	50 Twin Bonanza (U-8DEG, RU-8Seminole)	2	P	S	1600	1600	II
BE55	BEECH AIRCRAFT COMPANY (USA)	55 Baron (T-42 Chochise, C-55, E-20	2	P	S	1700	1700	II
BE56	BEECH AIRCRAFT COMPANY (USA)	56 Turbo Baron	2	P	S	0	0	II
BE58	BEECH AIRCRAFT COMPANY (USA)	58 Baron	2	P	S	1730	1730	II
BE60	BEECH AIRCRAFT COMPANY (USA)	60 Duke	2	P	S	1600	1600	II
BE65	BEECH AIRCRAFT COMPANY (USA)	65 Queen Air (U-8F Seminole)	2	P	S	1300	1300	II
BE70	BEECH AIRCRAFT COMPANY (USA)	70 Queen Air	2	P	S	0	0	II
BE76	BEECH AIRCRAFT COMPANY (USA)	76 Duchess 	2	P	S	1500	1500	II
BE77	BEECH AIRCRAFT COMPANY (USA)	77 Skipper 	1	P	S	750	750	I
BE80	BEECH AIRCRAFT COMPANY (USA)	80 Queen Air (Zamir)	2	P	S	1275	1275	II
BE88	BEECH AIRCRAFT COMPANY (USA)	88 Queen Air	2	P	S	0	0	II
